"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,0.794252537473077,0.992
1000,10,1,1,0.788896443150892,0.988
1000,20,1,1,0.791199828104566,0.993
10000,1,1,1,0.436299351720669,0.938
10000,10,1,1,0.388934790545679,0.968
10000,20,1,1,0.3991405272094,0.961
1e+05,1,1,1,0.366495387171961,0.945
1e+05,10,1,1,0.365023176265054,0.944
1e+05,20,1,1,0.366334342242835,0.943
20000,1,1,1,0.353599645817763,0.95
20000,10,1,1,0.333370344676154,0.968
20000,20,1,1,0.32650074247786,0.971
50000,1,1,1,0.337357816247873,0.924
50000,10,1,1,0.340966740175791,0.936
50000,20,1,1,0.341990190718464,0.935
1000,1,10,1,0.996179753111832,0.953
1000,10,10,1,1.0163056203099,0.947
1000,20,10,1,0.983974268481047,0.958
10000,1,10,1,0.375630927328836,0.978
10000,10,10,1,0.379663129815222,0.983
10000,20,10,1,0.383188457752386,0.984
1e+05,1,10,1,0.14730222662393,0.964
1e+05,10,10,1,0.155677220975539,0.98
1e+05,20,10,1,0.148822232520587,0.982
20000,1,10,1,0.390608234156191,0.943
20000,10,10,1,0.392249089176007,0.961
20000,20,10,1,0.38504381467678,0.962
50000,1,10,1,0.377402641998259,0.884
50000,10,10,1,0.369983578750952,0.917
50000,20,10,1,0.366636822150736,0.921
1000,1,100,1,0.80482458030887,0.989
1000,10,100,1,0.843866182753063,0.986
1000,20,100,1,0.853479405694024,0.983
10000,1,100,1,0.386871798173771,0.966
10000,10,100,1,0.373393914254997,0.974
10000,20,100,1,0.376590769471781,0.981
1e+05,1,100,1,0.209488091161528,0.909
1e+05,10,100,1,0.203562568035395,0.935
1e+05,20,100,1,0.205514623853694,0.944
20000,1,100,1,0.366461406927879,0.935
20000,10,100,1,0.331297743146609,0.96
20000,20,100,1,0.334285415096922,0.962
50000,1,100,1,0.17713437137852,0.955
50000,10,100,1,0.171647761169565,0.981
50000,20,100,1,0.177346719006267,0.986
1000,1,11,1,0.903319594329729,0.971
1000,10,11,1,0.898396254139835,0.972
1000,20,11,1,0.898826285034815,0.971
10000,1,11,1,0.465241285970825,0.957
10000,10,11,1,0.436072369265846,0.978
10000,20,11,1,0.433022810727726,0.973
1e+05,1,11,1,0.316283418769237,0.89
1e+05,10,11,1,0.310929886998994,0.923
1e+05,20,11,1,0.309354967645832,0.924
20000,1,11,1,0.381045847081807,0.94
20000,10,11,1,0.372717151957787,0.952
20000,20,11,1,0.371335561394617,0.954
50000,1,11,1,0.307589471642844,0.923
50000,10,11,1,0.303242989388123,0.94
50000,20,11,1,0.304681592682004,0.943
1000,1,12,1,0.783214776143345,0.99
1000,10,12,1,0.766994948649825,0.992
1000,20,12,1,0.784281971188157,0.99
10000,1,12,1,0.475136334357836,0.945
10000,10,12,1,0.453445748872509,0.966
10000,20,12,1,0.447517110467541,0.973
1e+05,1,12,1,0.350786253339846,0.888
1e+05,10,12,1,0.347483182097797,0.917
1e+05,20,12,1,0.34748115345721,0.92
20000,1,12,1,0.358579187880365,0.944
20000,10,12,1,0.360366622629254,0.959
20000,20,12,1,0.360713433650571,0.959
50000,1,12,1,0.324157661808419,0.939
50000,10,12,1,0.30746759594575,0.953
50000,20,12,1,0.304586238721241,0.955
1000,1,13,1,0.816737879445707,0.973
1000,10,13,1,0.806754719472899,0.976
1000,20,13,1,0.79528309056066,0.979
10000,1,13,1,0.412295057976416,0.958
10000,10,13,1,0.410080079573848,0.967
10000,20,13,1,0.410945079489502,0.968
1e+05,1,13,1,0.332891568166371,0.894
1e+05,10,13,1,0.324230687160578,0.932
1e+05,20,13,1,0.328449560674504,0.937
20000,1,13,1,0.372013436813136,0.942
20000,10,13,1,0.364553591730098,0.958
20000,20,13,1,0.360155237477671,0.959
50000,1,13,1,0.325796529168647,0.894
50000,10,13,1,0.307607496694322,0.948
50000,20,13,1,0.30303888201163,0.953
1000,1,14,1,0.840928583015749,0.973
1000,10,14,1,0.804472891373109,0.98
1000,20,14,1,0.803970583463899,0.983
10000,1,14,1,0.37707130569326,0.968
10000,10,14,1,0.380403267044676,0.974
10000,20,14,1,0.379937346834239,0.973
1e+05,1,14,1,0.319468888351296,0.918
1e+05,10,14,1,0.310977429682356,0.946
1e+05,20,14,1,0.310307119804189,0.946
20000,1,14,1,0.321265395609246,0.962
20000,10,14,1,0.279724420302232,0.982
20000,20,14,1,0.281734486961437,0.976
50000,1,14,1,0.355811339807755,0.9
50000,10,14,1,0.343292209362293,0.945
50000,20,14,1,0.341498036952301,0.94
1000,1,15,1,0.758042779102571,0.985
1000,10,15,1,0.750745740599058,0.991
1000,20,15,1,0.751840369261905,0.993
10000,1,15,1,0.428147586692023,0.964
10000,10,15,1,0.432517096116745,0.974
10000,20,15,1,0.423952277229002,0.976
1e+05,1,15,1,0.203237849692392,0.955
1e+05,10,15,1,0.19857804068519,0.967
1e+05,20,15,1,0.198660624595973,0.967
20000,1,15,1,0.328761231776425,0.963
20000,10,15,1,0.34274780958445,0.965
20000,20,15,1,0.343012559461855,0.965
50000,1,15,1,0.331875789007042,0.924
50000,10,15,1,0.3279321250285,0.941
50000,20,15,1,0.329002556307944,0.944
1000,1,16,1,0.847774749513418,0.978
1000,10,16,1,0.852724078707047,0.971
1000,20,16,1,0.83521375336555,0.974
10000,1,16,1,0.40748142136119,0.961
10000,10,16,1,0.409794180751441,0.973
10000,20,16,1,0.408141414350774,0.977
1e+05,1,16,1,0.345733776823454,0.858
1e+05,10,16,1,0.324269367662353,0.918
1e+05,20,16,1,0.326222223889393,0.919
20000,1,16,1,0.330614440700647,0.951
20000,10,16,1,0.315706071690864,0.974
20000,20,16,1,0.316289129215017,0.976
50000,1,16,1,0.239885398801809,0.952
50000,10,16,1,0.241211050210451,0.973
50000,20,16,1,0.245589741224797,0.971
1000,1,17,1,0.917671361528128,0.968
1000,10,17,1,0.928758799673391,0.965
1000,20,17,1,0.907679460270209,0.968
10000,1,17,1,0.485112517492708,0.928
10000,10,17,1,0.474994640638199,0.937
10000,20,17,1,0.474605884719025,0.942
1e+05,1,17,1,0.306067216882265,0.926
1e+05,10,17,1,0.306787480032562,0.943
1e+05,20,17,1,0.303891935666038,0.948
20000,1,17,1,0.367961244556709,0.941
20000,10,17,1,0.359396135310937,0.949
