"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,0.421255543476085,0.991
1000,10,1,1,0.399822848706435,0.998
1000,20,1,1,0.38988345847448,0.999
10000,1,1,1,0.183091128845304,0.973
10000,10,1,1,0.134812692698525,1
10000,20,1,1,0.13386893550565,1
1e+05,1,1,1,0.0751182770634764,0.883
1e+05,10,1,1,0.0503111991453511,0.997
1e+05,20,1,1,0.0491116696429927,0.999
20000,1,1,1,0.13127762835975,0.974
20000,10,1,1,0.100934787115704,0.999
20000,20,1,1,0.0974064241174562,0.999
50000,1,1,1,0.0916061918494063,0.925
50000,10,1,1,0.0638044117794816,0.997
50000,20,1,1,0.0635141462928106,0.997
1000,1,10,1,0.40341841414237,0.997
1000,10,10,1,0.383657602053508,0.996
1000,20,10,1,0.377010583036525,0.998
10000,1,10,1,0.194083040833536,0.969
10000,10,10,1,0.15193591420973,0.998
10000,20,10,1,0.145023127624096,0.999
1e+05,1,10,1,0.0731602886746753,0.898
1e+05,10,10,1,0.0501139658807572,0.993
1e+05,20,10,1,0.0478199147684702,0.998
20000,1,10,1,0.138609512830033,0.958
20000,10,10,1,0.103236513369925,1
20000,20,10,1,0.100858064185388,0.997
50000,1,10,1,0.0966856744564286,0.933
50000,10,10,1,0.0769541005375032,0.996
50000,20,10,1,0.0714976431458191,1
1000,1,100,1,0.406710960986693,0.995
1000,10,100,1,0.341186879859065,0.999
1000,20,100,1,0.342528673504393,1
10000,1,100,1,0.190123484049919,0.978
10000,10,100,1,0.151193609649133,0.998
10000,20,100,1,0.147240688802693,0.999
1e+05,1,100,1,0.0763313106385252,0.889
1e+05,10,100,1,0.0506991990370863,0.995
1e+05,20,100,1,0.0483271462731341,0.998
20000,1,100,1,0.137401751950349,0.965
20000,10,100,1,0.100286739261922,1
20000,20,100,1,0.093708115409868,0.999
50000,1,100,1,0.10049089392422,0.915
50000,10,100,1,0.0682092810605355,0.999
50000,20,100,1,0.0650880111309236,0.999
1000,1,11,1,0.363698482964342,1
1000,10,11,1,0.344950672568516,1
1000,20,11,1,0.339280082818723,0.999
10000,1,11,1,0.210351336771249,0.953
10000,10,11,1,0.152254292252468,0.999
10000,20,11,1,0.147838775905753,0.998
1e+05,1,11,1,0.0762082305359902,0.871
1e+05,10,11,1,0.0525804155556662,0.989
1e+05,20,11,1,0.050218917175714,0.987
20000,1,11,1,0.15347645981586,0.951
20000,10,11,1,0.119413979774617,0.994
20000,20,11,1,0.115978960870707,0.998
50000,1,11,1,0.0933192164220602,0.943
50000,10,11,1,0.066290736042876,0.998
50000,20,11,1,0.0615004379739289,0.999
1000,1,12,1,0.368217942760917,0.997
1000,10,12,1,0.347763436005609,1
1000,20,12,1,0.342222356055575,0.999
10000,1,12,1,0.172834526002482,0.981
10000,10,12,1,0.151044679300985,0.998
10000,20,12,1,0.145242389299251,0.999
1e+05,1,12,1,0.0761873081463189,0.882
