"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,28.6239445093172,0.667
1000,10,1,1,28.3708334670199,0.675
1000,20,1,1,28.2731810828883,0.676
10000,1,1,1,45.8637876413202,0.091
10000,10,1,1,45.6549540203867,0.103
10000,20,1,1,45.6976154796806,0.098
1e+05,1,1,1,18.2970339969944,0.091
1e+05,10,1,1,18.263592370022,0.142
1e+05,20,1,1,18.2585385703069,0.155
20000,1,1,1,24.4712340191075,0.128
20000,10,1,1,24.4658207404396,0.164
20000,20,1,1,24.4047390646507,0.168
50000,1,1,1,29.1477515792182,0.045
50000,10,1,1,29.0426558643777,0.071
50000,20,1,1,29.0249570661865,0.073
1000,1,10,1,15.4556895406187,0.629
1000,10,10,1,15.4098189900829,0.633
1000,20,10,1,15.4554437085434,0.642
10000,1,10,1,53.5540618241668,0.07
10000,10,10,1,53.285103838096,0.08
10000,20,10,1,53.4290373915439,0.079
1e+05,1,10,1,29.777935491258,0.107
1e+05,10,10,1,29.6585727652764,0.144
1e+05,20,10,1,29.6740247595767,0.146
20000,1,10,1,35.6436694499089,0.031
20000,10,10,1,35.5756510735967,0.045
20000,20,10,1,35.5826084963822,0.044
50000,1,10,1,21.1106670269279,0.12
50000,10,10,1,21.0934843417556,0.154
50000,20,10,1,21.0955251156546,0.152
1000,1,100,1,16.4193982298253,0.618
1000,10,100,1,16.5448444971185,0.632
1000,20,100,1,16.4944829017216,0.623
10000,1,100,1,38.3669774119349,0.1
10000,10,100,1,38.3102487411851,0.112
10000,20,100,1,38.2985528404497,0.126
1e+05,1,100,1,32.5330806864597,0.044
1e+05,10,100,1,32.4798567588219,0.073
1e+05,20,100,1,32.4813221692744,0.075
20000,1,100,1,29.3922448076408,0.128
20000,10,100,1,29.4197665066076,0.149
20000,20,100,1,29.4244219983887,0.151
50000,1,100,1,36.7772856539039,0.048
50000,10,100,1,36.6366329666818,0.053
50000,20,100,1,36.6644386594163,0.059
1000,1,11,1,27.7679865714114,0.299
1000,10,11,1,27.8038695853951,0.301
1000,20,11,1,27.8418775260534,0.299
10000,1,11,1,27.5910843794682,0.258
10000,10,11,1,27.6121971914182,0.267
10000,20,11,1,27.4898144616424,0.275
1e+05,1,11,1,37.3857050201304,0.032
1e+05,10,11,1,37.3413035861725,0.051
1e+05,20,11,1,37.3259145386103,0.055
20000,1,11,1,20.9304054503073,0.126
20000,10,11,1,20.8178137149088,0.163
20000,20,11,1,20.8377845413946,0.174
50000,1,11,1,50.9607349994929,0.078
50000,10,11,1,50.9913651099635,0.106
50000,20,11,1,50.9880941142055,0.115
1000,1,12,1,19.4568087628793,0.528
1000,10,12,1,19.5598963399679,0.55
1000,20,12,1,19.5431751134756,0.549
10000,1,12,1,25.442028167905,0.124
10000,10,12,1,25.4142658519676,0.139
10000,20,12,1,25.3893723603081,0.147
1e+05,1,12,1,17.0166646060045,0.141
1e+05,10,12,1,16.9129059502574,0.18
1e+05,20,12,1,16.8971443499773,0.19
20000,1,12,1,17.80602218078,0.194
20000,10,12,1,17.7161326622597,0.234
20000,20,12,1,17.6915928530612,0.232
50000,1,12,1,46.7268329885357,0.076
50000,10,12,1,46.6631119020907,0.109
50000,20,12,1,46.6223475805932,0.117
1000,1,13,1,29.367660843709,0.554
1000,10,13,1,29.3451634821972,0.575
1000,20,13,1,29.4012001959264,0.564
10000,1,13,1,33.9614908502295,0.294
10000,10,13,1,33.8472829916366,0.318
10000,20,13,1,33.8309694987533,0.325
1e+05,1,13,1,37.5404878167831,0.035
1e+05,10,13,1,37.5172176301651,0.052
1e+05,20,13,1,37.5375927182138,0.052
20000,1,13,1,53.1895393567778,0.138
20000,10,13,1,53.0926853374152,0.172
20000,20,13,1,53.0887136410323,0.182
50000,1,13,1,21.51613857687,0.116
50000,10,13,1,21.2351436675805,0.166
50000,20,13,1,21.2354629516217,0.173
1000,1,14,1,27.0634929048141,0.334
1000,10,14,1,27.0480619645024,0.355
1000,20,14,1,27.0312901933222,0.352
10000,1,14,1,17.2632675357855,0.261
10000,10,14,1,17.0612132595909,0.287
10000,20,14,1,17.0805783790781,0.313
1e+05,1,14,1,22.1264348113867,0.055
1e+05,10,14,1,22.043446431666,0.092
1e+05,20,14,1,22.0481435284769,0.092
20000,1,14,1,20.9670055625003,0.173
20000,10,14,1,20.9554866101903,0.21
20000,20,14,1,20.9290911928515,0.216
50000,1,14,1,47.8888334304382,0.103
50000,10,14,1,47.7421852530644,0.141
50000,20,14,1,47.7395813205702,0.148
1000,1,15,1,21.0853454935695,0.328
1000,10,15,1,20.9623846009159,0.333
1000,20,15,1,20.9983983558503,0.337
10000,1,15,1,30.9499835429928,0.16
10000,10,15,1,30.8861767733844,0.193
10000,20,15,1,30.8620944765905,0.191
1e+05,1,15,1,25.4101622969085,0.047
1e+05,10,15,1,25.389599008595,0.081
1e+05,20,15,1,25.379095884891,0.083
20000,1,15,1,19.1479507297595,0.184
20000,10,15,1,19.112461934774,0.23
20000,20,15,1,19.0603227755156,0.252
50000,1,15,1,34.5799708827266,0.03
50000,10,15,1,34.4382952102383,0.035
50000,20,15,1,34.4757173255171,0.034
1000,1,16,1,46.1810185874363,0.434
1000,10,16,1,45.7632443212979,0.443
1000,20,16,1,45.8828956950238,0.444
10000,1,16,1,35.0976831621593,0.09
10000,10,16,1,35.0051820770527,0.113
10000,20,16,1,34.9607869043292,0.108
1e+05,1,16,1,22.8794041648428,0.069
1e+05,10,16,1,22.8598573932257,0.108
1e+05,20,16,1,22.8406487676076,0.113
20000,1,16,1,14.5244183169882,0.293
20000,10,16,1,14.3647798250178,0.343
20000,20,16,1,14.3499428394467,0.357
50000,1,16,1,35.7086451386698,0.05
50000,10,16,1,35.6480978768976,0.069
50000,20,16,1,35.6491526860178,0.077
1000,1,17,1,62.745131543768,0.108
1000,10,17,1,62.6606165856384,0.104
1000,20,17,1,62.697006534183,0.11
10000,1,17,1,32.3761616178895,0.071
10000,10,17,1,32.1508576129883,0.09
10000,20,17,1,32.1669192828409,0.091
1e+05,1,17,1,17.5134505958517,0.129
1e+05,10,17,1,17.4322865626262,0.183
1e+05,20,17,1,17.4025675237846,0.193
20000,1,17,1,29.2566551623536,0.147
20000,10,17,1,29.1726777645875,0.177
20000,20,17,1,29.1439323796598,0.187
50000,1,17,1,34.522871535576,0.065
50000,10,17,1,34.4898966406489,0.095
50000,20,17,1,34.4712473612384,0.099
1000,1,18,1,21.9542923540394,0.411
1000,10,18,1,22.1697583472107,0.406
1000,20,18,1,22.1189287605987,0.422
10000,1,18,1,37.9995328463235,0.085
10000,10,18,1,37.9816968681204,0.1
10000,20,18,1,37.9459064771945,0.104
1e+05,1,18,1,23.9980099777036,0.073
1e+05,10,18,1,23.910925267035,0.1
1e+05,20,18,1,23.9075669310424,0.097
20000,1,18,1,27.2085144905998,0.086
20000,10,18,1,27.2116282365577,0.114
20000,20,18,1,27.2226217884381,0.12
50000,1,18,1,43.2586274233402,0.022
50000,10,18,1,43.2364748837347,0.033
50000,20,18,1,43.2340728425941,0.035
1000,1,19,1,16.6223944183596,0.907
